Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",149,644,517,147,78,25,1,43,111,111,115,24,158,6,5,1,,9,2,0.285276,0.179145,0.245869,0.72862,0.418351,0.588306,0.415864,1.00666,0.30303,3.85146,0.325672,-1.05884,-0.374886,129.849,53.7554,172.145,-1.43372,2.62933,53.32657873630524,-4.57066798210144,7.25614,1.8799999952316284,,,,,,,1163.1,7.806040268,1163.1,7.806040268,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",157,679,616,177,104,37,7,29,104,95,49,6,117,7,6,1,,33,10,0.287791,0.0720544,0.172461,0.417801,0.344039,0.512086,0.361892,0.856125,0.224295,6.97417,0.311735,1.69436,1.59241,107.152,26.9229,130.821,3.28678,7.02273,27.952098846435547,14.297733306884766,6.71374,3.0799999237060547,,,,,,,997.7,6.35477707,997.7,6.35477707,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Cal Raleigh","SEA",159,637,550,127,63,23,0,41,88,103,78,11,171,5,4,1,,8,2,0.230457,0.122086,0.268418,0.454838,0.329735,0.493639,0.347448,0.823375,0.263182,3.26146,0.252084,-1.31604,-0.308808,93.1123,17.7986,130.419,-1.62485,4.7388,21.22756588459015,11.888797760009766,6.36815,18.040000915527344,,,,,,,871.9,5.483647798,871.9,5.483647798,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Shohei Ohtani","LAD",157,679,575,162,81,28,5,48,129,119,94,16,164,5,4,2,,26,6,0.282107,0.137747,0.241232,0.571014,0.384681,0.598924,0.407463,0.983605,0.316818,6.78446,0.311295,0.0704774,1.74708,132.275,52.0457,165.22,1.81756,0,54.30351984500885,-16.975000381469727,6.13047,1.2400000095367432,,,,,,,1222.7,7.787898089,1222.7,7.787898089,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",159,686,548,149,86,24,1,38,114,102,128,9,120,4,4,2,,23,5,0.272195,0.186837,0.175546,1.06432,0.410559,0.528383,0.400149,0.938943,0.256188,4.79233,0.282395,-0.570734,1.0859,129.565,48.5086,163.001,0.515168,-7.17124,51.73856770992279,-14.72123908996582,6.12245,4.630000114440918,,,,,,,1144.6,7.198742138,1144.6,7.198742138,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Gunnar Henderson","BAL",156,672,590,161,95,33,5,29,102,89,70,4,141,6,4,1,,23,5,0.273183,0.104659,0.209134,0.50044,0.354311,0.490045,0.361628,0.844357,0.216862,6.25138,0.311793,1.29987,1.33551,105.903,26.5015,135.1,2.63537,-2.11649,30.43586492538452,5.083509206771851,6.00048,12.25,,,,,,,966.1,6.192948717,966.1,6.192948717,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",159,686,625,169,105,30,2,32,96,101,48,5,151,9,4,1,,26,7,0.270496,0.0703345,0.219584,0.320309,0.330142,0.476903,0.344922,0.807045,0.206407,5.58275,0.308206,0.500728,1.54074,98.8052,17.749,128.679,2.04147,6.53717,25.229660511016846,8.787170886993408,5.89605,9.600000381469727,,,,,,,921.4,5.794968553,921.4,5.794968553,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Fernando Tatis Jr.","SDP",156,672,586,158,96,30,2,30,102,90,75,4,131,6,3,1,,25,6,0.269937,0.112003,0.194949,0.574527,0.357587,0.481684,0.360868,0.839271,0.211747,5.55462,0.299179,0.518142,1.5821,105.489,26.0867,136.53,2.10024,6.7605,31.194809198379517,-0.6394953727722168,5.41365,14.170000076293945,,,,,,,952.9,6.108333333,952.9,6.108333333,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ronald Acuña Jr.","ATL",151,651,548,157,97,26,2,31,115,84,92,4,133,7,3,2,,26,6,0.285805,0.140824,0.204131,0.68987,0.393459,0.5118,0.389276,0.905259,0.225995,5.71116,0.324051,1.1668,1.55,117.207,40.2865,151.781,2.71681,-4.10219,42.669209480285645,-11.877188682556152,5.36639,5.480000019073486,,,,,,,1039,6.880794701,1039,6.880794701,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Francisco Lindor","NYM",151,651,576,150,94,29,1,26,97,81,57,2,119,11,5,2,,23,5,0.261196,0.0880548,0.182081,0.483602,0.336985,0.452388,0.341424,0.789373,0.191192,5.29808,0.284586,-0.458417,1.59289,91.9152,14.9945,122.773,1.13447,3.62246,18.70528209209442,10.097458839416504,5.16286,26.469999313354492,,,,,,,831.9,5.509271523,831.9,5.509271523,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Mookie Betts","LAD",151,651,567,155,97,31,3,24,95,90,73,3,77,4,5,1,,9,2,0.273973,0.111962,0.117696,0.951283,0.357958,0.467874,0.356012,0.825832,0.193901,4.45686,0.277643,-0.226291,-0.239634,99.6255,22.7048,129.974,-0.465925,-3.05484,22.660997539758682,3.920161008834839,4.93556,58.619998931884766,,,,,,,876.1,5.801986754,876.1,5.801986754,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Kyle Tucker","LAD",151,651,555,149,86,28,2,33,101,99,88,6,95,3,3,2,,22,4,0.268396,0.134808,0.146649,0.919252,0.369711,0.505094,0.373582,0.874805,0.236698,5.37164,0.269761,0.0249932,1.66778,108.912,31.9914,142.01,1.69277,-0.575392,34.10629105567932,-7.550392031669617,4.93298,13.149999618530273,,,,,,,985.8,6.528476821,985.8,6.528476821,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"José Ramírez","CLE",157,679,602,165,99,34,3,29,95,96,66,20,80,5,6,0,,32,7,0.273386,0.0977005,0.117303,0.832892,0.346937,0.483574,0.347189,0.83051,0.210187,5.89085,0.271709,-0.0724456,2.31885,99.0466,18.8175,124.894,2.2464,1.61227,22.168513774871826,2.237273335456848,4.88807,5.949999809265137,,,,,,,964.5,6.143312101,964.5,6.143312101,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Alejandro Kirk","TOR",125,495,435,118,84,19,0,15,52,63,50,2,60,4,5,0,,1,0,0.272238,0.10177,0.120724,0.842998,0.349591,0.422397,0.33648,0.771988,0.150159,1.73824,0.282817,-1.32341,-0.760853,67.8475,9.40666,116.936,-2.08426,5.86283,7.788413047790527,14.587827205657959,4.87945,157.1199951171875,,,,,,,585.8,4.6864,585.8,4.6864,,,,,,,,,,,,,,,,,,,"Alejandro Kirk","22581",672386
"Corbin Carroll","ARI",147,637,554,143,78,26,12,27,101,89,68,3,133,9,5,2,,34,7,0.258541,0.1068,0.209386,0.510064,0.346509,0.493885,0.358718,0.840394,0.235344,8.12747,0.291952,2.12226,2.9136,98.8826,23.6162,130.334,5.03586,4.83003,27.9376220703125,-1.7949671745300293,4.84304,14.899999618530273,,,,,,,920.4,6.261224489,920.4,6.261224489,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Vladimir Guerrero Jr.","TOR",157,679,590,173,106,33,0,34,98,105,78,9,92,6,5,0,,5,2,0.293676,0.114411,0.135859,0.842132,0.37931,0.52136,0.382477,0.90067,0.227684,2.75679,0.298089,-0.398813,-0.96352,118.5,38.2709,148.621,-1.36233,-1.26722,37.54833114147186,-13.592215299606323,4.84206,18.34000015258789,,,,,,,1050,6.687898089,1050,6.687898089,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Elly De La Cruz","CIN",156,672,598,157,95,31,6,25,97,89,66,6,173,4,3,1,,41,11,0.26225,0.0982061,0.257854,0.38086,0.337921,0.459181,0.341332,0.797102,0.19693,7.38593,0.328149,1.68633,2.67192,94.8297,15.4277,114.528,4.35824,0.927093,15.929388046264648,7.877092361450195,4.72316,8.5,,,,,,,897.4,5.752564102,897.4,5.752564102,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Geraldo Perdomo","ARI",159,686,581,154,106,30,4,15,96,72,83,1,88,8,6,7,,23,6,0.266032,0.12166,0.1289,0.943834,0.362857,0.408165,0.340002,0.771021,0.142133,5.85468,0.288702,0.34546,0.805846,96.0645,15.0083,117.513,1.15131,0.443354,15.39019775390625,7.79335343837738,4.70709,76.19000244140625,,,,,,,832.1,5.233333333,832.1,5.233333333,,,,,,,,,,,,,,,,,,,"Geraldo Perdomo","22799",672695
"Pete Crow-Armstrong","CHC",149,644,591,150,88,30,5,26,88,92,35,1,155,9,6,4,,34,9,0.253582,0.054373,0.24032,0.226253,0.302584,0.455875,0.324234,0.758459,0.202292,7.10215,0.297469,0.812078,2.15343,81.9384,5.84481,109.488,2.9655,11.9331,10.207273006439209,14.233111143112183,4.69271,32.13999938964844,,,,,,,780.3,5.236912751,780.3,5.236912751,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Junior Caminero","TBR",154,665,610,165,96,29,1,39,89,117,46,1,127,4,5,0,,6,2,0.270377,0.0688869,0.190652,0.361322,0.322953,0.513193,0.355364,0.836146,0.242816,3.31613,0.279646,-0.0620062,-0.365589,101.418,22.8434,128.459,-0.427595,-1.57279,21.877714067697525,0.2022111415863037,4.6008,16.700000762939453,,,,,,,926.2,6.014285714,926.2,6.014285714,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
